name,position
Fuat OKTAY,Vice President
Abdulhamit GÜL,Minister of Justice
Derya YANIK,Minister of Family and Social Services
Vedat BİLGİN,Minister of Labor and Social Security
Murat KURUM,Minister of Environment and Urbanization
Mevlüt ÇAVUŞOĞLU,Minister of Foreign Affairs
Fatih DÖNMEZ,Minister of Energy and Natural Resources
Mehmet M. KASAPOĞLU,Minister of Youth and Sports
Lütfi ELVAN,Minister Of Treasury And Finance
Süleyman SOYLU,Minister of Interior
Mehmet Nuri ERSOY,Minister of Culture and Tourism
Mahmut ÖZER,Minister of National Education
Hulusi AKAR,Minister of National Defense
Fahrettin KOCA,Minister of Health
Mustafa VARANK,Minister of Industry and Technology
Bekir PAKDEMİRLİ,Minister of Agriculture and Forestry
Mehmet MUŞ,Minister of Trade
Adil KARAİSMAİLOĞLU,Minister of Transport and Infrastructure
