pageid,title
376619,Recep Tayyip Erdoğan
779689,Mehmet Ersoy
25757106,Mevlüt Çavuşoğlu
32386995,Bekir Bozdağ
38976490,Süleyman Soylu
41436606,Mansur Yavaş
45447406,Vasip Şahin
47439541,Hulusi Akar
48032385,Mustafa Şentop
55861301,Aslıgül Üğdül
57865244,Fuat Oktay
57989190,Mustafa Varank
59913104,Yaşar Güler
60099092,Ekrem İmamoğlu
60386740,Tunç Soyer
61116194,Ali Yerlikaya
63358555,Fahrettin Koca
63508886,Adil Karaismailoğlu
63530164,Mehmet Kasapoğlu
64370590,Hakan Çakıl
66281332,Fatih Dönmez
67160028,Şahap Kavcıoğlu
67574358,Derya Yanık
67583263,Mehmet Muş
68522231,Murat Kurum
68522475,Mahmut Özer
69411813,Nureddin Nebati
70228792,Vahit Kirişci
70229223,Vedat Bilgin
