@@,itemlabel,item,startdate,enddate
+++,Murat Bey,,1920-08-19,1921-08-12
+++,Mehmet Atıf Tüzün,Q6062933,1922-02-04,1927-07-23
+++,Nevzat Tandoğan,Q6583270,1929-06-22,1946-07-09
+++,Osman Sabri Adal,Q6053688,1946-08-03,1946-11-12
+++,İzzettin Çağpar,Q6447444,1946-12-02,1948-02-09
+++,Mehmet Avni Doğan,Q6095075,1948-02-09,1950-05-22
+++,Necati İlter,Q6026452,1950-08-24,1952-01-18
+++,Kemal Aygün,Q6621065,1952-04-12,1955-09-12
+++,Cemal Göktan,Q6040735,1955-09-14,1957-10-09
+++,Kemal Aygün,Q6621065,1957-10-09,1958-07-17
+++,Abdullah Dilaver Argun,Q6960356,1958-07-17,1960-05-27
+++,İrfan Baştuğ (Askeri vali),Q6027291,1960-06-08,1960-09-11
+++,İhsan Orgun (Askeri vali),Q6455000,1960-09-24,1961-04-08
+++,Nuri Teoman,Q6583216,1961-04-12,1962-10-12
+++,Enver Kuray,Q12809416,1962-10-12,1966-01-14
+++,Ali Celalettin Coşkun,Q6054759,1966-01-14,1968-06-10
+++,Tekin Alp (vekil),Q26702120,1968-06-06,1968-10-19
+++,Ömer Naci Bozkurt,Q6013690,1968-10-19,1970-05-20
+++,Ömer Naci Bozkurt (vekil),Q6013690,1970-05-20,1970-07-17
+++,Ali Rıza Yaradanakul,Q6020876,1970-07-17,1971-06-18
+++,Şerif Tüten,Q6024814,1971-06-18,1975-06-02
+++,Ömer Naci Bozkurt,Q6013690,1975-06-22,1975-09-09
+++,Mustafa Gönül (vekil),Q6055822,1975-09-09,1976-01-24
+++,Durmuş Yalçın,Q6036645,1976-01-24,1978-02-10
+++,Tekin Alp,Q26702120,1978-02-10,1979-12-05
+++,Vecdi Gönül,Q1917377,1979-12-04,1980-10-17
+++,Mustafa Gönül,Q6055822,1980-10-27,1984-02-06
+++,Cahit Bayar,Q6088814,1984-02-06,1988-01-14
+++,Saffet Arıkan Bedük,Q6039170,1988-01-14,1991-07-17
+++,Erdoğan Şahinoğlu,Q6028622,1991-07-17,1999-09-30
+++,Yahya Gür,Q6036140,1999-10-01,2004-07-01
+++,Kemal Önal,Q6034799,2004-09-16,2010-05-11
+++,Alaaddin Yüksel,Q6068977,2010-05-27,2014-09-15
+++,Mehmet Kılıçlar,Q6054330,2014-09-22,2016-09-20
+++,Ercan Topaca,Q6035178,2016-09-20,2018-11-05
